Training 25M...
  5M
  10M
  15M
  20M
  25M
Trained.
Testing 50M with snapshots every 100K...
  10M
N,corr,z,corr_x_sqrtN
13100000,-0.0003222501,-1.1663,-1.166349
13200000,-0.0003465165,-1.2590,-1.258957
13300000,-0.0003582233,-1.3064,-1.306411
13400000,-0.0003651971,-1.3368,-1.336841
13500000,-0.0003593647,-1.3204,-1.320390
13600000,-0.0003665459,-1.3518,-1.351755
13700000,-0.0003447552,-1.2761,-1.276060
13800000,-0.0003486339,-1.2951,-1.295118
13900000,-0.0003293105,-1.2278,-1.227759
14000000,-0.0003392292,-1.2693,-1.269279
14100000,-0.0003416989,-1.2831,-1.283078
14200000,-0.0003495600,-1.3172,-1.317243
14300000,-0.0003200099,-1.2101,-1.210128
14400000,-0.0002987182,-1.1336,-1.133556
14500000,-0.0003108903,-1.1838,-1.183835
14600000,-0.0003041179,-1.1620,-1.162033
14700000,-0.0002627816,-1.0075,-1.007520
14800000,-0.0002407093,-0.9260,-0.926027
14900000,-0.0002757932,-1.0646,-1.064576
15000000,-0.0002838235,-1.0992,-1.099244
15100000,-0.0002561934,-0.9955,-0.995535
15200000,-0.0002566872,-1.0008,-1.000751
15300000,-0.0002473166,-0.9674,-0.967384
15400000,-0.0002353850,-0.9237,-0.923717
15500000,-0.0002326272,-0.9159,-0.915854
15600000,-0.0002155899,-0.8515,-0.851512
15700000,-0.0001961364,-0.7772,-0.777156
15800000,-0.0001674491,-0.6656,-0.665597
15900000,-0.0001521203,-0.6066,-0.606577
16000000,-0.0001536914,-0.6148,-0.614766
16100000,-0.0001634416,-0.6558,-0.655806
16200000,-0.0001577318,-0.6349,-0.634858
16300000,-0.0001535015,-0.6197,-0.619736
16400000,-0.0001602760,-0.6491,-0.649068
16500000,-0.0001477735,-0.6003,-0.600259
16600000,-0.0001370571,-0.5584,-0.558413
16700000,-0.0001383802,-0.5655,-0.565499
16800000,-0.0001358305,-0.5567,-0.556739
16900000,-0.0001277422,-0.5251,-0.525143
17000000,-0.0001070621,-0.4414,-0.441428
17100000,-0.0001219130,-0.5041,-0.504136
